post	label	language
#duisburg 4 réfugiés arabes lardent de coups de couteau une ado allemande enceinte de 5 mois qui cru qu’elle p… @url	1	french
@user dit le gauchiste. quand reçoit des menaces de l extrême gauche et voit les millions de dégâts et les… @url	0	french
@user @user @user @user @user comment débattre entre gauchiste sans aucune contradiction	0	french
grèce: les transferts de réfugiés et migrants vers le continent s’accélèrent @url @url	1	french
@user je n'y avais pas pensé mais il peu à nantes des maghrébins ont affronté des #migrants africains.	0	french
@user @user @user ne pas voter c'est donner une voix au lr macron au gauchiste etc	0	french
quand en plus la violence sociale (perte… @url	0	french
@user @user @user personne ne s'attarde sur le fait qu'elles sont plusieurs avoir des batraciens dans l’œsophage ?	0	french
@user je suis pas attardé dans la gare mais dehors ca appelle de partout en effet.	0	french
contre l'immigration et l'islamisation de la france la seul parti qui défend la france c'est le rn (et dlf) @url	1	french
@user de la thune pour les migrants...y de la thune... français d’abord ! pour nos aînés priorité nationale !	0	french
loon plage : une femme violemment agréssée par un groupe de migrants @url	0	french
qu'en pensent les obscurantistes pro-agrochimie pro-développement à outrance anti-écolos et autres climato-scepti… @url	1	french
bien des migrants vivaient aussi dans l'illÉgalitÉ aux États-unis 35 % des migrants illégaux interceptés au québ… @url	0	french
@user les pays arabes n'ont qu'a les accueillir nous n'en veut pas ras le cul	0	french
macron et l’islamisation de la france un plan bien ficelé par l’institut montaigne @url	0	french
@user pour moi l'insignifiance ne mérite pas qu'on s'y attarde!!	0	french
video gaza: voilà ce que les medias appellent manifestations. et d'après vous pourquoi les arabes envoient-ils d… @url	0	french
les renois qui font les gars de la cité et qui courent comme mbappé dés que un chien vous connait #cesoirtribunal	1	french
dans mon équipe à la fac clrmt 20 rebeus/renois sur 600 c chaud	0	french
bah y'a qu'à quand même de très belles phrases si s'y attarde un peu @user @url	0	french
@user @user il fait quoi au juste ce gouvernement? pourquoi il s'attarde sur des futilités alors qu'il de… @url	0	french
@user oui mais là depuis le matin je ne suis pas attardé après le match	0	french
s'imaginer que l'#africain vient en #europe n'est qu'un pur fantasme étant donné que 90% des #migrants africains re… @url	1	french
@user @user @user mr simon vous ne pouvez justifier voir atténuer la violence des propos de mr zemmou… @url	0	french
@user c'est totalement le cas deja essaye de prononcer ca la tele et tu verras c'est un peu comme l'expression gauchiste	1	french
@user @user ptn cette violence de la question mdr	0	french
@user cet attardé mental il même pas un diplôme. donnez son emploi à un chômeur.	1	french
malheureusement en #france un de perdu dix de retrouvés ! #migrants #stopimmigration @url	1	french
pour ceux qui douteraient du caractère complotiste et de l'antisionisme délirant d'abdelrahim ali voici un thread… @url	0	french
si la tuerie #complotiste et #antisémite de #pittsburgh frappe aujourd'hui les #usa n'oublions pas que cette idéol… @url	1	french
tu préfères aller en soirée avec l'autre con de zoonekynd où aller en cours avec l'autre mongol de mahieux? — alex… @url	0	french
@user pourquoi contre les autistes? je trouve ça débile d'en faire une sorte de chose obligatoire mais… @url	0	french
@user @user @user @user c’est juste que d’habitude s’attarde plus sur la couleur de mes fringues	0	french
pour en finir avec la théorie du complot anti-voitures @user @user @url	0	french
dialectique gauchiste intéressante.	0	french
@user @user @user il serait:anti islamisme (anti radicalisme terrorisme extrémisme) ou anti i… @url	0	french
@user oui très bien! mais du coup je ne vois toujours pas la corrélation avec les migrants africains. ^^	0	french
@user ptydttyddtrrtdd un ouf toi tu mprends pour un sale arabe	1	french
les vegans sont-ils contre l'avortement ?	1	french
@url @url @url tu dit de la merde putain de gauchiste @url	0	french
@user @user @user guenolé le gauchiste osé critiquer une des seules réelles féministes honorable e… @url	0	french
nouveau virage à gauche du ps revenu dans l'opposition. après le mandat hollande… faire de l'accueil des migrants… @url	0	french
les renois c'est un délire comment ils dégagent un bail surtout qd ils mettent des durag jvs love	0	french
jsuis vrmt attardé miam	0	french
tu trouves comment physiquement les rebeus ? pas forcément les mecs de tess — craquant de fou @url	0	french
@user dirait un gros daron antillais sur la derniere	0	french
dieu ne s’attarde jamais à combler un besoin extérieur.	0	french
algérie: «les migrants sont beaucoup plus vulnérables maintenant» pour leïla berrato - @url	0	french
est plus grand bien-sûr attardé que je suis à oublié des mots x)	0	french
@user c'est propre à la gauche ce terrorisme intellectuel l'histoire l'a démontré et le montre encore.	1	french
@user c’est de la violence dont vous êtes le produit?	0	french
l'italie adopte une loi pour expulser plus rapidement les migrants @url	0	french
@user @user mec si il gagne pas cobtre liverpool ils st eliminate donc fais pas l’attardé ici	0	french
ce sont plutot les collabos gauchiste qui avaient tourne les yeux de leurs pauvres congeneres causes d'eux des mi @url	1	french
@user ils le prennent pour un attardé ou quoi ptdr	0	french
quand je sors de chez le coiffeur j’suis vraiment le plus beau de tous les rebeus	0	french
les attaques terroristes racistes antimusulmans; ne sont que rarement qualifiées de terrorisme. https:…	0	french
@user @user vos voulez dire que vous soupçonnez @user d'apologie du terrorisme islamique? et… @url	0	french
comment il place sa phase sur « les renois de stamford bridge » pfiou il prend n’importe qui en leuleu	0	french
@user @user je ne renie pas ce que je suis je mange de tout. je mangerai bien du gauchiste bobo mais j'ai… @url	1	french
@user @user yen ils ont du mal capter hein c'est fou	0	french
il est capable de te lâcher un sale arabe ou un sale nègre sous l'effet de la colère au premier degré... j'ai u… @url	1	french
quand je vois que la cagnotte pour aider les enfants réfugiés qui dorment deh…	0	french
« pour réduire les coûts d'une immigration exagérée pour expulser plus rapidement les délinquants et les faux dema… @url	1	french
rt @user tous les potes de clara ils m'appellent ton pote chinois mdr c ouf g pas l'impression de tant ressembler un noich q	1	french
@user @user non ! n'en veut pas de ces migrants économiques ! trop c'est trop . il est plus urgent d… @url	0	french
chez bcp trop d'arabes aussi et ils sont tellement occasionnellement ds mes cercles que la questi…	0	french
la préférence islamiste de la gauche est motivée par le clientélisme mais également par l’anticléricalisme.	0	french
@user l'africanisation et l'islamisation de l'europe c'est l'importation des mœurs qui sont associées. n… @url	1	french
insupportables les rebeus pr ca @url	0	french
@user @user l’islamisation de la france est en marche...financée par les caf. c’est probablement la première… @url	0	french
@user @user @user @user déjà islam= paix le terrorisme c les feuge qu’il utilise… @url	0	french
@user je ne suis pas un gauchiste comme tu le dis. je ne suis jamais considere de gauche. toi tu es... @url	0	french
mur anti-migrants au sahara : l'idée renversante de trump @url	0	french
@user @user j’aimerais bien savoir pourquoi « l’islamogauchiste » est votre ennemi principal et… @url	0	french
@user @user oui il n ya pas de grd remplacement ni de racisme anti blanc ! c tjr arabe noir jeune en s… @url	0	french
j'ai un seul regret mais je m'attarde pas dessus. faut avancer @url	0	french
#migrants #islam #islamisation #islamisme #islam #afrique #immigrants #macron #lrem #fra…	0	french
@user @user le baath c’etait un parti pour tous les arabes avec une variante dans chaque pays (baath irakien sous saddam etc)	0	french
@user c est pas le meme groupe de supporter c est toi le mongol	0	french
@user @user ce qui n'as rien voir avec le fait d'etre en haut de l'echelle alimentaire ou no... @url	0	french
@user @user « nous sommes en france ».... « nous ne sommes pas en afrique » vos propos sont d’un ri… @url	1	french
@user @user la bonne blague. l'esclavage arabo-musulman le terrorisme et l'islamisme c'est déjà pas mal comme dégâts.	1	french
@user @user @user toujours les mêmes poncifs 1) la non violence est une position moral… @url	0	french
top : @user 'bienvenue à #cergy où des migrants africains complètement nus agressent sauvagement les français… @url	1	french
@user @user @user @user en inde bouffe pas de viande car ca fait des g... @url	0	french
@user moi hamdoullah je vis dans un pays africain donc mon prenom va pas deranger mais les gens qui ont du mal a… @url	0	french
@user j’ai été sur place chez mon opérateur ils m’ont y’a rien à faire à part porter plainte pr harcèlement ou changer de numéro	0	french
@user @user vous allez apprendre faire la difference entre un gauchiste comme lula/melenchon et un f... @url	0	french
une renois tu peux pas lui dire tu l'aime bien ou tu la trouve belle psk sinon dans sa tête elle va croire ces bey… @url	1	french
