post	label
we cannot continue calling ourselves feminists if the rights of all womxn arent addressed yes to a sexual offences public list but will a trans lesbian bisexual and queer womxn be able to enter their information on the reporting sheet gender forum	0
nawt yall niggers ignoring me	0
<user> i am bit confused coz chinese ppl can not access twitter thn how this ching chong using it i think he pakistani 🤔 🤔 🤔	2
and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew	2
nogs jews and dykes how enriching	1
guilty until proven innocent unless you are a jew a nigger or a lover of both	2
<number> <number> <percent> of brits think multiculturalism is a failure i guess the other <percent> are happy with their muzzie master there no great in britain anymore soon big ben will be converted into a minaret	2
tariq nasheed beating the fuck out of that drum beloved lmao somebody put a biscuit in that niggas mouth already	0
<percent> cotton thigh highs to avoid contact with any gay chemicals	0
oomf a <number> yearl old closet gay and obsessed with me someone help	0
fellas be careful she texting other niggas	0
italian niggas call they dick the poozingi	0
<user> <user> <user> <user> <user> he married a negress because white women did not want him but black females all over america love nobama	0
<user> condoning drug use not kike at all thanks for that disclosure	1
<user> <user> people act as if you can not say the same about the states obviously not all americans are pro guns not all americans support their government treatment of immigrants and foreigners but when it comes to israel suddenly the logic changes	0
anyways the fact that her outfit directly violates france law abt no face coverings veils but is still headlined in paris fashion week shows that the law was never abt obscured facial identification but abt white supremacy and islamophobia	0
lol what a stupid kike	2
why does anyone care what the albino nigger has to say	2
this sounds like a kike national socialist	2
i saw a couple baums and steins in the victim list but that about it ya got more info i thought the school was half spic though	1
only elite looters are enriched when they import a 6 0 iq moslem onto welfare section <number> homeless vets would not need taxpayer paid classes on how to use toilets in free homes	0
a negro moslem doctor got struck off for negligence when a white <number> year old kid with down syndrome died the guardians response is to help promote a crowd funding campaign for her	2
anyway princess sapphire of silverland is a dyke and threw the first brick at stonewall	1
if we could teach a giraffe to paint that would be one handy sumbitch	0
she wanna meet carti that bitch is a barbie 🦋	0
smiling cuz i am young black rich and i am handsome	0
bitches be so fine and got the nerve to like niggas 😒	1
<user> <user> yeah but as people who fall outside of society standard sexual norms maybe theres a reason a lot of queer trans ppl like to talk a bit more openly about their sexuality in certain spaces where they feel safe to do so	0
play one game of overwatch after a month away very first game instantly has two players calling people faggots and to kill yourself oh boy i gotta just not play this game at all anymore	0
<user> the irony is they are the ones whose mothers were raped by m invaders	0
<user> <user> is a scheming fraud who fronts a hillbilly cult	0
<user> no idea who these women are they get all the credit for jumping on after the women who been calling for impeachment take the hits and smears and told to go back to where they come from job well done unknown white congress women 🙄	0
y is big baby davis a faggot on shameless doe	1
<user> <user> babies in cages destroying environment by rolling back regulations siding with white supremacists bad mouthing gold star families shithole countries response to puerto rico that just a few	0
related instagram tags for jewelry fashionable designer trendy hairstyle fashion gram fashion blog menswear men style trend	0
catch woahs and pull hoes	0
niggas cry and complain so much i am starting to think you all the real females in the relationship 💀	1
now stephanie liking this nigga shit 😔 he getting mad bitches tonight	0
remember kids the cucumber is the sluttiest vegetable	0
<user> there was a time that they where shooting young men on demand look at my tweets i did a whole series these people are worse than the nazis and the children get raped and tortured in jail little palestinian children	0
<user> <user> <user> like pretty much anything rooted in nostalgia even tangentially is going down the wrong path because if you are a trans woman of color or disabled queer latina you almost certainly never had all of things and in many cases had none	0
i am going to give my fellow negroes some advice dont show up at white christian schools trying to make connections show up at because you are trying to be a christian the romans originally hated the christians they burned them at the stake and they fed them to lions	0
you stupid motherfucking dick just why dont you over dribble your ass and get the fuck out of the club you fucking faggot <user>	2
<user> <user> <user> it was way better than sonoma if you remember your redneck jesus won the glenn also	0
the flag of the maga fags in all it glory it comes with nigger red shoes too	2
if i hear the phrase white privilege one more time i am going to opt to come back in my next life as a black hispanic latino illegal muslim jewish faggot feminist queer gay lesbian dike transgender piece of shit in other words everything i have not been in this life	2
just another dumb nigger	2
have you proven your gender yet nice profile pic by the way oh im a nigger too	2
<user> the cunt of a retarded nigger pissed beads of shit into asshole of a jew kike	2
ok give us your defense of nigger dogs tell us how they are not all like that lol i bet you are gonna sound just like some mudshark taking up for actual niggers lol	2
<user> white people have agency unlike mudslime sandniggers who kill random pedastrians without a voice all that is left is violence we will come for journalists and google executives first they will regret what they have done white rebellion free weev weev did nothing wrong just like hitler	2
<user> you first kike	2
jew should be hated they are a disease that needs to eradicated from among white folk they and their subhuman nigger and arab foot soldiers are the enemy their annihilation is not up for negotiation	2
all these pro white christians should be deported to africa where they belong who would come out against that these subversive pieces of shit take advantage of white civilization while opening the gates for niggers we need standards that the bottom line and these nigger level iqs are dead weight	2
yet another sand nigger slaughters innocents hey libscum i hope your sweet little tender daughters are next you brought this scum here now live with it	2
yet when a couple of filthy dykes want you to pander to their sins as you see them you must comply by law time to start organizing for yourselves no one else is gonna do it for you	2
<user> and all the animals that were killed people were horrified for their bears and coons and they call themselves liberals the definition of a liberal and feminist have changed keep your old dictionaries	0
lol that why i wear them i have had many confrontations with the pos muzzies and black panther scum	2
reminds me of a college fundraiser to help a kike family rebuild their burnt house the father was a magistrado which is like a high court judge so they were richer than most of the other students families	2
damn dat wetback needs to strap in those moobs	2
i tire with you all day same just blah blah blah kike you will see it a dream cheese puff boy go bed it a school night 😉	2
zion goes down after slipping and tearing out of his shoes he limps off on his own power jack white in to the game	0
feisty little girl white walker giant feisty young woman the night king nuff said got	0
silk sheets and diamonds all white	0
bro before hoe	0
ion hang wit bitches who niggas are insecure	1
cat dicks have barbs so it can scrape out competing sperm	0
lmao the vikings suck get these niggas out of our city	0
you niggers need to sack up and tweet nigger	2
the gap between blackpink and other artists 🤭	0
girls like a mix of protective let me be a slut	0
that is the muzrat strategy in every country they infest	2
you are a lady uyasebenta and independent you drive a nice car you own a nice apartment you are beautiful and fun but every weekend you wake up with a different guy in bed cry and claim you were raped you do not even remember having sex with them wtf yini lenkinga i am lost	0
pc as the group bts <user> retweet if you are an army skip and il hate you	0
dm to paypal me faggots cash fag paypig cash master cash slave	1
adulting so ghetto i did not sign up for this 🤦 🏽 ‍ ♀️	0
sorry about the nigger comment but even blacks do not like niggers	2
it officially spooky szn bitch	0
nd only <percent> nigger but jewish culture should be taken into account here thanks jews	2
this nigger calling me juicy lips over the phone wtf	2
i know this is somewhat hypocritical but what the fuck is the deal with queer guys and slightly too small white tshirts	0
wore a nipsey blue suit today only the niggers in the work place feel the energy 🏁 💙	0
dwts they all look good in white	0
create a list destabilizing violence	0
<user> sup faggot suck my two inch cock thru my old navy jeans	1
i hate fucking niggers	2
you all niggers are cancers	2
<user> happy bday slut whatchu on for the day	1
man i hate niggers	2
hop sing no jew yes but i bet they looked for a jew to play his part then came to conclusion we can not find a jew that will fit the role okay let us get a gook at minimum wage	2
this yid endicted yet not arrested and	0
ima bitch i will admit it	0
rafiullah shaheed a young man from levi force was shot dead by unknown men in muslim bagh a levies officer was killed in a bomb blast in lashkar gah on sunday while militants were also killed on the same day three people including mullahaniyev were killed in chaman	0
sabine wren is a raging queer	0
this nigger just saved the uk	2
team name washington warhogs team colors red white and blue team location washington dc team president anybody but bruce allen	0
the same niggas that be flexing jewelry be the same ones trynna get a discount at dollar tree smh	0
microchip has had more nigger cocks in him than a kfc urinal in chicongo on mlk day 😎	2
im wearing white pants and i look like a faggot	0
overthink can kill yourself too <happy>	0
<user> <user> <user> <user> <user> what else we can expect from jihadi terrorist country	0
god bless james earl ray putting down that nigger mlk to save all those white girls from his rapist cock maga	2
<user> one of two things is happening here <number> that girl was raped and is misplacing her pain <number> the girl is insanely jealous of kaitlyn based on biology degree dig i am thinking this one	0
fucking ulgly ass bitch ass stinky ass bitch ass nigger slave nigger teacher faggot peace of shit suck a dick	2
god made the niggers he made them in the night he made them in a hurry and forgot to paint them white	2
<user> slack jawed knuckle dragging mouth breathing toothless inbred redneck backwoods uneducated hillbilly hicks that the republican party	0
<user> <user> no one inayah a retarded faggot rather have porridge that the reason u numpty you are big gay	1
<user> <user> great poet	0
pakistani moslem with link to terrorist want to stop a white christian head of state of another country visiting the european country his mother was born in	0
you are next kike	2
the muzzies and black churches have always been given a pass this primarily helps conservative churches that have been silent on political issues out of fear of losing their 5 0 1 c3 status	2
you mean the conservative saint ronald reagan gave amnesty to a million mexicans another chink in his armor	0
i vote <number> genocide for the arab and nigger scum raping our women killing our people and destroying europe also include the traitors who support the destruction of our people and our ancestral homelands white power	2
it a moslem terrorist tactic attack the women then attack the men when they come to help like when a first explosion will cause casualties a secondary explosion will cause more casualties the medical responders and onlookers stay safe always help carry and conceal	2
well when i was in the air force they thought i was a dyke plumber bitch so there ya go opinions are like assholes	1
that his sister sheboon friend melissa is apparently dating some blonde dude	2
if the bbi will end the circle of violence and tension after every five years then bring it on	0
if ya nigga ever say that bitch ain t yo friend you better believe him 💯 😭	0
common blacked on get em high	0
<user> milky spores we think we have moles and the milky spores will kill their food source grubs	0
all these niggas is parrots	0
i am so tired of corporate america i am only <number> years old and i feel like i have been in this bitch for <number> years	0
someone took my fucking dyke pin i am going to kill	0
lol get a load of this kike	2
