post	label	language
Easyjet quiere duplicar el número de mujeres piloto' Verás tú para aparcar el avión.. http://t.co/46NuLkm09x	1	spanish
El gobierno debe crear un control estricto de inmigración en las zonas fronterizas con Colombia por q después del 20-8querrán venir en masa	1	spanish
Yo veo a mujeres destruidas por acoso laboral y callejero. Otras con depresión debido a violación sexual o maltrato físico. Y conocí a varias que se suicidaron por este tipo de comportamientos machistas. Vas a seguir con tu show pobre? https://t.co/JE6MEgvIh4	0	spanish
— Yo soy respetuoso con los demás, sólamente les recuerdo lo que son. Y si son escoria no es culpa mía. ... — ¡Claro que lo sé! ¿¡Por quién me tomas!?	0	spanish
Antonio Caballero y como ser de mal gusto e ignorante a la vez. Claro que no es lo mismo acoso sexual y violación pero hay varias conductas que componen la violencia sexual.	0	spanish
@Zurine3 Cuánto hijo de puta sobra en el mundo...	0	spanish
Pablo Casado debería estudiar un máster en inmigración https://t.co/Pcz6GPJ6dG	0	spanish
vos me haces eso te pego una patada en la cara https://t.co/2drqUu5Rwc	0	spanish
#Noticiasdelalinea: Detienen en Guatapanal motocicleta y nacional haitiano indocumentado https://t.co/qs9MTKddqK	0	spanish
@MaivePerez Llora te lo.mereces por zorra	1	spanish
Padres indocumentados realizaron una huelga de hambre para pedir ser liberados https://t.co/ZPuBt8kUrK https://t.co/zRentrV0Kq	0	spanish
No sé porque hay personas que piensan que todos los inmigrantes son delincuentes	0	spanish
A Tomi Alegre JAKSKKSJSJ — Cállate q tdv estoy de duelo puta https://t.co/ilHP09OzCK	0	spanish
@mspn95 @SC_ESPN Callate gallina puta y cntala cmo quieras!! Bolso culo facil!! Jajajaaj hijooo	1	spanish
Albondigas! Casi al estilo de las fodongas pero en el Gabacho.	0	spanish
Todos: -#NoTodosLosHombres -PPK, presidente de lujo -Perú no va al mundial 2017: Já, ilusos.	0	spanish
El juez cita a declarar a la menor que denunció abusos por parte de jugadores de la #Arandina https://t.co/vD92Mxs04Q https://t.co/kbTiYIpwol	0	spanish
VAMOOOO LA PUTA MADRE SE LO MERECÍA TANTO ESFUERZO Y HABER PASADO TANTOS TELÉFONOS NECESITÁBAMOS ESTE DESCANSO #SoltarteNoEstáEnMisPlanesMica	0	spanish
Pd a ver si cierran de una puta vez Tv3 que no sé todavía qué servicio público ofrece para que merezca dinero de nuestros impuestos o solo hace daño que roben unos?	0	spanish
Yo estaba claro que esta vida de trabajador inmigrante fundido máquina iba a ser difícil. Y es verdad, es difícil jajaja	0	spanish
Mira de vd estoy hasta la polla ya, no aguanto más tonterías	0	spanish
@enkarny282 @irenejunquera No tienes ni puta idea.la melodia es mi novia es sevillista...una puta mas.	1	spanish
@PepeGonzalezRP @EsmeSese Diappoler* jajaja cállate Pepe niño polla Si me han llenado de notificaciónes jajajajaja	0	spanish
¿Mojigatas, moralinas? ¿Neta? ¿Por estar en contra del acoso sexual y la violación en el trabajo?	0	spanish
Si cualquier cosa es violación o acoso, se minimizan la violación y el acoso. Por lo tanto, pierden las víctimas de las mierdas que se dedican a violar y/o acosar.	0	spanish
Que divertido que consideres que una piba por estar con uno con novia es una zorra... si mal no recuerdo tambien te habias metido con uno CON novia, no hay que hacer lo que no nos gusta que nos hagan🙆🙆🙅	0	spanish
Odio los viejos que se creen que se merecen todo, hijo de puta tú lo que te mereces es una tumba.	0	spanish
@elultimopeter Tu eres demasiado perra 😂	1	spanish
@Manu_Sainz @elchiringuito El papapapartido imimimporta... callate tartaja!!! Come polla de madeira	0	spanish
@Setxuki @Daii__24 callate la puta boca gordo almagro	0	spanish
Es un gran regalo???? Y una polla un regalo, aquí no le han regalado nada. Se lo ha currado muchísimo, ya vale con las tonterías #OTGala8	0	spanish
me saqué un 9 en el final de biología para vos hija de puta q no me quisiste promocionar por unas centésimas EN TU CARA Y EN TU CANCHA	0	spanish
@ValentinaaCruz Puteria y perico también somos almas gemelas excepto que tu eres puta desde él vientre.	1	spanish
@PatonGuzman eres una verdadera cagada, puto, mierda entre la mierda, por eso a los putos argentos, sudakas miserables, se le aborrece, por escorias como mico sorete mal parido	1	spanish
I added a video to a @YouTube playlist https://t.co/lWXlQnkxyQ El Güero Bastidas - Enigma Norteño (2011)	0	spanish
@AgusMariano17 @astrobrix @saintlean asi le digo a tu mami callate perra	1	spanish
@intonarumori13 Cállate y ven ya joder hostia puta	0	spanish
Dos amigos hablando: -Raúl, q me das por mi mujer? -Nada -Trato hecho.	1	spanish
@AngeAlvarez7 Callate perra, re despierta estoy	1	spanish
#esdemexicanos que te digan güero aunque seas mas negro que la noche	0	spanish
Ah vaina, ¿ahora no puedo criticar porque soy inmigrante? Dios mío ¿por que hay gente así? 😒😒 https://t.co/RAHMXDL7G1	0	spanish
Immigration ? Invasion ? Entrada masiva de INMIGRANTES subsaharianos a CEUTA | España https://t.co/sUe4DoZLXB via @YouTub information passée sous silence par les médias belges #desinformation	0	spanish
De esto que estás escribiendo y te preguntas lo callada que está la perra. Miras hacia atrás y te encuentras esto. https://t.co/LkdwUVHgaJ	0	spanish
En ese listado deben estar de segundo los árabes y chinos que nos tienen jodidos. Vienen de sus países con una mano delante y una atrás y consiguen préstamos gigantescos para sus negocios y para maltratar al venezolano. Acá en margarita se ve mucho esa vaina https://t.co/gHdYmtl68V	1	spanish
Querida tú eres una puta sin llenadero.. que dicen tus hijos de tu nuevo amor? Sigues siendo su ejemplo 🤣🤣🤣	1	spanish
Guyana recibirá $30 mil de Unicef para atender a refugiados venezolanos -  https://t.co/QAT9EZivVW https://t.co/8JM5ezcITq	0	spanish
Cómo cuando estás bien prietita y te dicen güera jajaja	0	spanish
@DrodriguezVen tu eres la perra mas perra de las perras	1	spanish
Inmigrantes intentan fugarse de Ceuta escondidos en un ferry https://t.co/PzsYXikVuh vía	0	spanish
@Proctologo Maldito hijo de perra... no sé por que no se fue por una puta letrina en su pueblo y se ahogó en mierda, como lo merecia.	0	spanish
@MirandaLanda22 Ya callate pinche puta y celebra la navidad hija de perra	1	spanish
A ver quién paga la factura y cómo se reparten el marrón de dejar inmigrantes ilegales sueltos por sus ciudades (y que los votantes no de lo hagan pagar dentro de un año)... https://t.co/CehRdJsSdU	1	spanish
- El tiempo no existe. La división espacio-temporal es una invención del hombre, por lo tanto,.. - Cállate, hijo(a) de puta.	0	spanish
@Laura99CM Ahora que me has faltado el respeto te lo puedo decir por fin: ¡A fregar puta!	1	spanish
Me mandan esta mierda. Cultura de la violación en sus mejores pantallas. ESCORIA. Se puede hacer algo @policia ? https://t.co/vGmcVPSO7B	0	spanish
@gliclazida @dotfanny @el_pais Pero el escenario que describe no es de acoso. Es de violación y asesinos	0	spanish
La Conferencia Sectorial de Inmigración y Emigración se reúne dentro de una hora por primera vez desde 2015. En lo que va de año, han llegado en patera a las costas de la región 145 ciudadanos argelinos.	0	spanish
@PatricioMery @JorgeGlas Callate Ivan el Tonto, No hay pruebas !!! Donde estabas hijo de perra cuando gente como bucaram, Lasso , baqueros, y oportunistas se comieron al Ecuador y se repartian en pedazos, cuando no habia ni carreteras ni hospitales, ni me	0	spanish
